X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.021762 0.021762],[8.34066746e-05 8.34066968e-05],[0.00118816 0.00118816],[0.00180801 0.00180801],[0.00907069 0.00907069],[0.01023936 0.01023936],[0.0222136 0.0222136],[0.01390147 0.01390147],[0.00690918 0.00690917],[0.00683239 0.00683238],[0.00729105 0.00729105],[0.01299223 0.01299223],[0.01156341 0.01156341],[0.00759456 0.00759456],[0.00798735 0.00798735],[6.33937163e-05 6.33939862e-05],[0.00667769 0.00667769],[0.01005308 0.01005308],[0.04005901 0.04005901],[0.01827686 0.01827686],[0.00885933 0.00885933],[0.0297811 0.0297811],[0.04241612 0.04241612],6,0
[0.02136453 0.02136453],[0.00048024 0.00048024],[0.00123406 0.00123406],[0.001765 0.001765],[0.00874308 0.00874308],[0.01012865 0.01012865],[0.0238689 0.0238689],[0.01239268 0.01239268],[0.00721044 0.00721044],[0.00668401 0.00668401],[0.00703769 0.00703769],[0.01235047 0.01235047],[0.00817675 0.00817675],[0.00639218 0.00639218],[0.00969668 0.00969668],[0.00064773 0.00064773],[0.00754847 0.00754847],[0.00808388 0.00808388],[0.0388281 0.0388281],[0.01773655 0.01773655],[0.01124745 0.01124745],[0.03341671 0.03341671],[0.03984469 0.03984469],6,1
[0.02475131 0.02475131],[9.54605562e-05 9.54605544e-05],[0.00133879 0.00133879],[0.00228214 0.00228214],[0.00750423 0.00750423],[0.00439396 0.00439396],[0.02324102 0.02324102],[0.01451502 0.01451502],[0.00754766 0.00754766],[0.00712901 0.00712901],[0.00740987 0.00740987],[0.0126475 0.0126475],[0.00491115 0.00491115],[0.01001738 0.01001738],[0.00738681 0.00738681],[0.00015468 0.00015468],[0.0103114 0.0103114],[0.00993959 0.00993959],[0.04932498 0.04932498],[0.01910401 0.01910401],[0.00848645 0.00848645],[0.03449631 0.03449631],[0.04111942 0.04111942],6,2
[0.02048513 0.02048513],[0.00053415 0.00053415],[0.00070202 0.00070202],[0.00252928 0.00252928],[0.00719087 0.00719087],[0.02249626 0.02249626],[0.02223338 0.02223338],[0.01219189 0.01219189],[0.00717939 0.00717939],[0.00651178 0.00651178],[0.00704947 0.00704947],[0.00808855 0.00808855],[0.01226164 0.01226164],[0.0059566 0.0059566],[0.0085038 0.0085038],[0.00246228 0.00246228],[0.00937721 0.00937721],[0.00697002 0.00697002],[0.03391351 0.03391351],[0.02154511 0.02154511],[0.0083361 0.0083361],[0.02625021 0.02625021],[0.03774965 0.03774965],6,3
[0.02350291 0.02350291],[0.00069074 0.00069074],[0.00084256 0.00084256],[0.00242032 0.00242032],[0.00611182 0.00611182],[0.01772517 0.01772517],[0.0201054 0.0201054],[0.01381126 0.01381126],[0.00605186 0.00605186],[0.00712407 0.00712407],[0.0069818 0.0069818],[0.00865956 0.00865956],[0.00603355 0.00603355],[0.01021923 0.01021923],[0.0107868  0.01078681],[0.00364648 0.00364647],[0.01413983 0.01413983],[0.00731245 0.00731245],[0.03923916 0.03923916],[0.02017038 0.02017038],[0.00902525 0.00902525],[0.03391545 0.03391545],[0.03794081 0.03794081],6,4
[0.0540182 0.0540182],[0.0083133 0.0083133],[0.00435131 0.00435131],[0.00169933 0.00169933],[9.17805151e-05 9.17806644e-05],[0.07198507 0.07198507],[0.01913798 0.01913798],[0.00619921 0.00619921],[0.01472516 0.01472516],[0.01066718 0.01066718],[0.01317576 0.01317576],[0.00547341 0.00547341],[0.00728378 0.00728378],[0.0021473 0.0021473],[0.00887825 0.00887825],[0.01531148 0.01531148],[0.0006512 0.0006512],[0.01307068 0.01307068],[0.00796057 0.00796057],[0.02865356 0.02865356],[0.01756743 0.01756743],[0.00908651 0.00908651],[0.01276036 0.01276036],7,0
[0.05748288 0.05748288],[0.00381534 0.00381534],[0.00329427 0.00329427],[0.0026025 0.0026025],[0.00164901 0.00164901],[0.07155349 0.07155349],[0.02116992 0.02116992],[0.00705919 0.00705919],[0.01584323 0.01584323],[0.01002794 0.01002794],[0.01426625 0.01426625],[0.00871147 0.00871147],[0.00729735 0.00729735],[0.00548515 0.00548515],[0.00909477 0.00909477],[0.01252133 0.01252133],[0.00045564 0.00045564],[0.02082888 0.02082888],[0.01251215 0.01251215],[0.03374227 0.03374227],[0.01273043 0.01273043],[0.01158238 0.01158238],[0.00302111 0.00302111],7,1
[0.0548547  0.05485471],[0.00601268 0.00601268],[0.00457193 0.00457193],[0.00216572 0.00216572],[0.00185507 0.00185507],[0.07052254 0.07052254],[0.0208614 0.0208614],[0.00629416 0.00629416],[0.0138171 0.0138171],[0.01076659 0.01076659],[0.01318655 0.01318655],[0.00744316 0.00744316],[0.00949289 0.00949289],[0.00297528 0.00297528],[0.00941989 0.00941989],[0.01301629 0.01301629],[0.00443663 0.00443663],[0.01464437 0.01464437],[0.01057394 0.01057394],[0.03050761 0.03050761],[0.01438828 0.01438828],[0.0098072 0.0098072],[0.0077428 0.0077428],7,2
[0.05299755 0.05299755],[0.0052273 0.0052273],[0.00332871 0.00332871],[0.00280016 0.00280016],[0.00362469 0.00362469],[0.06790971 0.06790971],[0.01938121 0.01938121],[0.00688856 0.00688856],[0.01477689 0.01477688],[0.0106641 0.0106641],[0.01229267 0.01229267],[0.00586558 0.00586558],[0.00684433 0.00684433],[0.00391893 0.00391893],[0.00828824 0.00828824],[0.01440221 0.01440221],[0.0027363 0.0027363],[0.01496241 0.01496241],[0.00711953 0.00711953],[0.03304729 0.03304729],[0.01031419 0.01031419],[0.00899346 0.00899346],[0.00267091 0.00267091],7,3
[0.05919309 0.05919309],[0.00288191 0.00288191],[0.00296651 0.00296651],[0.00302207 0.00302207],[0.00106056 0.00106056],[0.06843916 0.06843916],[0.02096655 0.02096655],[0.00598832 0.00598832],[0.01385118 0.01385118],[0.0108018 0.0108018],[0.01343443 0.01343443],[0.00616342 0.00616342],[0.003951 0.003951],[0.00407822 0.00407822],[0.00952349 0.00952349],[0.01248767 0.01248767],[0.00034874 0.00034874],[0.01760334 0.01760334],[0.01520538 0.01520538],[0.03414273 0.03414273],[0.01026196 0.01026196],[0.01034153 0.01034153],[0.00190511 0.00190511],7,4
