X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.01855217 0.01855217],[0.00420248 0.00420248],[0.00416163 0.00416163],[0.00060707 0.00060707],[0.00896712 0.00896712],[0.0111501 0.0111501],[0.04583813 0.04583813],[0.0029407 0.0029407],[0.03839762 0.03839762],[0.00417049 0.00417049],[0.00810185 0.00810185],[0.00366472 0.00366472],[0.01033923 0.01033923],[0.00487902 0.00487902],[0.00473051 0.00473051],[0.01004148 0.01004148],[0.01536685 0.01536685],[0.02357372 0.02357372],[0.01121676 0.01121676],[0.00535619 0.00535619],[0.00806828 0.00806828],[0.01398207 0.01398207],[0.00661122 0.00661122],6,0
[0.01802382 0.01802382],[0.00367119 0.00367119],[0.002886 0.002886],[0.00115528 0.00115528],[0.01091558 0.01091558],[0.00898226 0.00898226],[0.0546441 0.0546441],[0.00433412 0.00433412],[0.04245673 0.04245673],[0.00661481 0.00661481],[0.00687152 0.00687152],[0.00521167 0.00521167],[0.01223941 0.01223941],[0.00353415 0.00353415],[0.00459251 0.00459251],[0.01017171 0.01017171],[0.00714117 0.00714117],[0.01134358 0.01134358],[0.00141712 0.00141712],[0.00313941 0.00313941],[0.00208491 0.00208491],[0.015628 0.015628],[0.00116218 0.00116218],6,1
[0.01854419 0.01854419],[0.00250482 0.00250482],[0.00301221 0.00301221],[0.00135159 0.00135159],[0.00778367 0.00778367],[0.00949519 0.00949519],[0.05452992 0.05452992],[0.00184617 0.00184617],[0.03305646 0.03305646],[0.00820776 0.00820776],[0.01232956 0.01232956],[0.00316587 0.00316587],[0.01056677 0.01056677],[0.007397 0.007397],[0.00158065 0.00158065],[0.00815616 0.00815616],[0.00922014 0.00922014],[0.01502633 0.01502633],[0.0054474 0.0054474],[4.67339943e-05 4.67341031e-05],[0.00061764 0.00061764],[0.01296909 0.01296909],[0.007352 0.007352],6,2
[0.01905092 0.01905092],[0.00290483 0.00290483],[0.00345582 0.00345582],[0.00020849 0.00020849],[0.0108447 0.0108447],[0.01394588 0.01394588],[0.04299319 0.04299319],[0.00563223 0.00563223],[0.04494181 0.04494181],[0.0070937 0.0070937],[0.0115721 0.0115721],[0.00060989 0.00060989],[0.01034271 0.01034271],[0.000244   0.00024401],[0.00375017 0.00375017],[0.00827986 0.00827986],[0.01485386 0.01485386],[0.01534525 0.01534525],[0.00746415 0.00746415],[0.00405918 0.00405918],[0.00623072 0.00623072],[0.01962256 0.01962256],[0.00447212 0.00447212],6,3
[0.01787126 0.01787126],[0.00423045 0.00423045],[0.00432744 0.00432744],[0.00118417 0.00118417],[0.01024811 0.01024811],[0.00960746 0.00960746],[0.06240565 0.06240565],[0.00345428 0.00345427],[0.04288424 0.04288424],[0.00552436 0.00552436],[0.00909765 0.00909765],[0.00207438 0.00207438],[0.00924288 0.00924288],[0.00055264 0.00055264],[0.00643914 0.00643914],[0.00851764 0.00851764],[0.01447828 0.01447828],[0.02604988 0.02604988],[0.01155468 0.01155468],[0.0057265 0.0057265],[0.0091247 0.0091247],[0.0170962 0.0170962],[0.00208885 0.00208885],6,4
[0.01825382 0.01825382],[0.00025312 0.00025312],[0.00133333 0.00133333],[0.00020032 0.00020032],[0.00195382 0.00195382],[0.03448696 0.03448696],[0.01563425 0.01563425],[0.00292883 0.00292883],[0.01075944 0.01075944],[0.0082857 0.0082857],[0.00434842 0.00434842],[0.00188063 0.00188063],[0.00393933 0.00393933],[0.00019043 0.00019043],[0.0076134 0.0076134],[0.00356891 0.00356891],[0.00355695 0.00355695],[0.0106535 0.0106535],[0.0054554 0.0054554],[0.0021284 0.0021284],[0.02079902 0.02079902],[0.00732826 0.00732826],[0.00718542 0.00718542],7,0
[0.01892983 0.01892983],[0.0003696 0.0003696],[0.00106723 0.00106723],[0.00017578 0.00017578],[0.00044092 0.00044092],[0.03462927 0.03462927],[0.0154379 0.0154379],[0.00291992 0.00291992],[0.01134807 0.01134807],[0.00847233 0.00847233],[0.00446874 0.00446874],[0.00188562 0.00188562],[0.00587549 0.00587549],[0.00115865 0.00115865],[0.00543699 0.00543699],[0.00361778 0.00361778],[0.00244588 0.00244588],[0.01125704 0.01125704],[0.00676248 0.00676248],[0.003661 0.003661],[0.01968676 0.01968676],[0.00864032 0.00864032],[0.00673438 0.00673438],7,1
[0.01937118 0.01937118],[0.00027131 0.00027131],[0.00094197 0.00094197],[0.00069076 0.00069076],[0.00010603 0.00010603],[0.03452924 0.03452924],[0.01466151 0.01466151],[0.00293981 0.00293981],[0.01190485 0.01190485],[0.00869807 0.00869807],[0.00435476 0.00435476],[0.00331666 0.00331666],[0.00796864 0.00796864],[0.00225597 0.00225597],[0.00474969 0.00474969],[0.00339144 0.00339144],[0.00320034 0.00320034],[0.01142776 0.01142776],[0.00735022 0.00735022],[0.00564857 0.00564857],[0.01753693 0.01753693],[0.0075713 0.0075713],[0.0081037 0.0081037],7,2
[0.01863587 0.01863587],[0.00031963 0.00031963],[0.0014505 0.0014505],[0.00010634 0.00010634],[0.00212175 0.00212175],[0.03426448 0.03426448],[0.01593812 0.01593812],[0.00298055 0.00298055],[0.01070042 0.01070042],[0.00827196 0.00827196],[0.00406306 0.00406306],[0.00251772 0.00251772],[0.00693121 0.00693121],[0.00010132 0.00010132],[0.00751702 0.00751702],[0.00389657 0.00389657],[0.00366843 0.00366843],[0.01166952 0.01166952],[0.00657477 0.00657477],[0.00742944 0.00742944],[0.01823718 0.01823718],[0.00822139 0.00822139],[0.00734163 0.00734163],7,3
[0.01820978 0.01820978],[0.00026987 0.00026987],[0.00123964 0.00123964],[0.00013338 0.00013338],[0.00238467 0.00238467],[0.03411417 0.03411417],[0.01439112 0.01439112],[0.00270719 0.00270719],[0.0106636 0.0106636],[0.00866877 0.00866877],[0.00398747 0.00398747],[0.00165333 0.00165333],[0.00701193 0.00701193],[0.00121617 0.00121617],[0.00503186 0.00503186],[0.0033427 0.0033427],[0.00127221 0.00127221],[0.01197968 0.01197968],[0.00351486 0.00351486],[0.0085446  0.00854459],[0.01957337 0.01957337],[0.00732843 0.00732843],[0.00795041 0.00795041],7,4
